Electrode Name,x,y
Fp1,-0.23607706,0.6187162
Fp2,0.23607706,0.6187162
F3,-0.29607706,0.4187162
F4,0.29607706,0.4187162
C3,-0.38461538,0
C4,0.38461538,0
P3,-0.29607706,-0.4187162
P4,0.29607706,-0.4187162
O1,-0.22006948, -0.73445022
O2,0.22006948, -0.73445022
F7,-0.54392829,  0.54392829
F8,0.54392829,  0.54392829
T7,-0.76923077,0
T8,0.76923077,0
P7,-0.54392829, -0.54392829
P8,0.54392829, -0.54392829
Fz,0,0.38461538
Cz,0,0
Pz,0,-0.38461538
Oz,0,-0.76923077
FC1,-0.1821179,  0.197123
FC2,0.1821179,  0.197123
CP1,-0.1821179, -0.197123
CP2,0.1821179, -0.197123
FC5,-0.54043552,  0.24229969
FC6,0.54043552,  0.24229969
CP5,-0.54043552, -0.24229969
CP6,0.54043552, -0.24229969
TP9,-0.76067656, -0.30437187
TP10,0.76067656, -0.30437187
POz,0,-0.57692308
